tconst,primaryTitle,startYear,runtimeMinutes,genres,language,averageRating,numVotes,Drama,Fantasy,Thriller,Crime,Mystery,Sci-Fi,Romance,Film-Noir,Documentary,History,Horror,Biography,War,Western,Comedy,Action,Adventure,Family,Music,Musical,Sport,Animation,Adult,News,title_lower,image
tt0049730,The Searchers,1956,119,"Adventure,Drama,Western",fr,7.9,81300,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the searchers,https://image.tmdb.org/t/p/original/jLBmgW0epNzJ1N9uzaVCjbyT94v.jpg
tt0051845,The Last Hurrah,1958,121,"Comedy,Drama",fr,7.4,3128,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the last hurrah,https://image.tmdb.org/t/p/original/j03Bi7i6ApbdPVmmb6GvHCIWJAR.jpg
tt0054292,Sergeant Rutledge,1960,111,"Crime,Western",fr,7.4,4126,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sergeant rutledge,https://image.tmdb.org/t/p/original/m0h8QLRgUS9vh3aVitSCmnMfAVf.jpg
tt0056085,How the West Was Won,1962,164,Western,fr,7.1,18981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,how the west was won,https://image.tmdb.org/t/p/original/wFgIHnrX3hGZgOE8gq3bq3XGYOY.jpg
tt0056217,The Man Who Shot Liberty Valance,1962,123,"Drama,Western",fr,8.1,69680,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the man who shot liberty valance,https://image.tmdb.org/t/p/original/67GlEz1BQQumnscqk56Ex1W7ywH.jpg
tt0015202,The Hands of Orlac,1924,92,"Crime,Horror,Mystery",fr,7.1,2547,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the hands of orlac,https://image.tmdb.org/t/p/original/40WWy1SSx8rh1r4mn1MNpCKIteF.jpg
tt0030840,Tempête sur l'Asie,1938,95,Drama,fr,7.3,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tempête sur l'asie,https://image.tmdb.org/t/p/original/4QbMxdyEz2dWQpYN5fzsFN9G9Al.jpg
tt0033152,The Thief of Bagdad,1940,106,"Adventure,Family,Fantasy",fr,7.4,12083,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,the thief of bagdad,https://image.tmdb.org/t/p/original/q7TnipIWeWHAk98C6v6mK3c8oKD.jpg
tt0034399,A Woman's Face,1941,106,"Drama,Film-Noir,Thriller",fr,7.2,2908,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a woman's face,https://image.tmdb.org/t/p/original/yIvo5vK4FiUKDDBlagmj3SV1vMe.jpg
tt0034449,All Through the Night,1942,107,"Action,Comedy,Crime",fr,7.1,3890,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all through the night,https://image.tmdb.org/t/p/original/tnupiRvlT2chDDi7Na63jMnEfd5.jpg
tt0015864,The Gold Rush,1925,95,"Adventure,Comedy,Drama",fr,8.2,102577,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the gold rush,https://image.tmdb.org/t/p/original/eQRFo1qwRREYwj47Yoe1PisgOle.jpg
tt0032553,The Great Dictator,1940,125,"Comedy,Drama,War",fr,8.4,205725,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the great dictator,https://image.tmdb.org/t/p/original/1QpO9wo7JWecZ4NiBuu625FiY1j.jpg
tt0039631,Monsieur Verdoux,1947,124,"Comedy,Crime,Drama",fr,7.9,16114,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,monsieur verdoux,https://image.tmdb.org/t/p/original/6LcFw7KyghfBo2vqk3cpdqPu4PW.jpg
tt0044837,Limelight,1952,137,"Drama,Music,Romance",fr,8.1,18516,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,limelight,https://image.tmdb.org/t/p/original/sC31TDVXloovIsLLiTvVJERvjFS.jpg
tt0050598,A King in New York,1957,110,"Comedy,Drama",fr,7.1,7483,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a king in new york,https://image.tmdb.org/t/p/original/s1CU99c4m6V0QZFGtzM67K8RK9y.jpg
tt0016220,The Phantom of the Opera,1925,93,Horror,fr,7.6,16961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the phantom of the opera,https://image.tmdb.org/t/p/original/itfhSxbIgsan85iY1NrquIx7qxo.jpg
tt0016491,Mother,1925,114,"Drama,Mystery,Romance",fr,7.7,702,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mother,https://image.tmdb.org/t/p/original/cNCOL8l9f9cqorL8dPRbBAOCniF.jpg
tt0027552,"Bizarre, Bizarre",1937,94,Comedy,fr,7.5,1632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"bizarre, bizarre",https://image.tmdb.org/t/p/original/a1dq3nnqsg1LqFXBrul0yMqarU5.jpg
tt0028196,The Robber Symphony,1936,136,Musical,fr,7.4,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,the robber symphony,NoImage
tt0043303,The Red Inn,1951,98,"Comedy,Crime",fr,7.3,1334,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the red inn,https://image.tmdb.org/t/p/original/oeQf19yeZBtBPv0qEuCz48qGABV.jpg
tt0054734,The Counterfeiters of Paris,1961,98,"Comedy,Crime",fr,7.1,1127,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the counterfeiters of paris,https://image.tmdb.org/t/p/original/bQhBCDNefEfBNDFvJE2x0PsWso2.jpg
tt0020697,The Blue Angel,1930,104,"Drama,Music",fr,7.7,13879,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,the blue angel,https://image.tmdb.org/t/p/original/9giSPs43kYB76eLBEq9eMdcdK2G.jpg
tt0017075,The Lodger: A Story of the London Fog,1927,92,"Crime,Drama,Mystery",fr,7.3,10564,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the lodger: a story of the london fog,https://image.tmdb.org/t/p/original/tD84zwFeFRf3zG98x558N3PBMV.jpg
tt0030341,The Lady Vanishes,1938,96,"Mystery,Thriller",fr,7.8,48145,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the lady vanishes,https://image.tmdb.org/t/p/original/e9yjeqzcsFEhwTsv2Lv9RTZhHaJ.jpg
tt0032484,Foreign Correspondent,1940,120,"Action,Romance,Thriller",fr,7.5,18821,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,foreign correspondent,https://image.tmdb.org/t/p/original/voiObyqh8LDAOdnBCKD1ZuoPVbL.jpg
